Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12,69.750000,69.750000,68.300003,68.800003,67.080429,120945
2020-08-13,69.800003,69.800003,68.300003,68.550003,66.836678,139077
2020-08-14,68.550003,69.449997,66.800003,67.550003,65.861671,166552
2020-08-17,69.000000,69.000000,66.599998,67.250000,65.569168,213023
2020-08-18,67.250000,70.000000,67.250000,69.550003,67.811684,280526
2020-08-19,70.000000,70.050003,68.550003,68.849998,67.129181,189522
2020-08-20,68.500000,73.900002,68.500000,71.500000,69.712944,883096
2020-08-21,72.400002,73.500000,69.000000,71.449997,69.664192,510900
2020-08-24,72.000000,72.800003,70.300003,70.550003,68.786690,219574
2020-08-25,70.800003,71.949997,69.150002,70.400002,68.640442,243208
2020-08-26,71.300003,72.000000,70.849998,71.150002,69.371689,245328
2020-08-27,71.150002,71.949997,69.250000,69.449997,67.714180,325290
2020-08-28,69.500000,70.900002,68.900002,69.150002,67.421677,235156
2020-08-31,69.300003,70.000000,63.900002,64.900002,63.277905,515188
2020-09-01,65.000000,66.900002,64.099998,65.349998,63.716660,236082
2020-09-02,65.000000,65.199997,64.599998,64.949997,63.326653,123824
2020-09-03,66.400002,66.699997,64.500000,64.949997,63.326653,194530
2020-09-04,64.000000,65.199997,63.299999,64.699997,63.082897,125238
2020-09-07,64.050003,65.349998,63.700001,63.900002,62.302898,100838
2020-09-08,64.750000,64.949997,62.599998,63.000000,61.425392,118442
2020-09-09,61.250000,62.500000,58.400002,61.099998,59.572880,225797
2020-09-10,61.549999,63.349998,61.500000,61.950001,60.401638,175942
2020-09-11,62.099998,62.700001,59.900002,61.000000,59.475380,314236
2020-09-14,61.900002,64.250000,61.099998,63.349998,61.766644,439058
2020-09-15,64.000000,65.800003,62.750000,62.950001,61.376644,369789
2020-09-16,62.500000,65.000000,62.500000,63.500000,61.912895,237728
2020-09-17,63.000000,63.750000,61.549999,62.099998,60.547882,309301
2020-09-18,63.000000,63.450001,62.000000,62.450001,60.889137,172484
2020-09-21,61.349998,62.750000,59.349998,59.549999,58.061623,184291
2020-09-22,59.000000,60.000000,56.200001,59.049999,57.574116,158797
2020-09-23,61.500000,61.500000,57.450001,58.150002,56.696613,153904
2020-09-24,57.849998,60.000000,56.599998,58.900002,57.427868,253774
2020-09-25,60.000000,64.400002,59.400002,63.700001,62.107895,422805
2020-09-28,63.500000,64.400002,62.450001,62.650002,61.084141,187565
2020-09-29,62.250000,62.950001,60.849998,61.150002,59.621632,231254
2020-09-30,61.150002,61.950001,60.599998,61.250000,59.719135,114608
2020-10-01,61.200001,62.250000,60.150002,60.849998,59.329128,203745
2020-10-05,61.500000,61.950001,59.799999,60.049999,58.549122,136066
2020-10-06,60.200001,60.900002,60.000000,60.450001,58.939129,180913
2020-10-07,61.000000,62.450001,60.500000,60.799999,59.280376,633730
